ProductName,Brand,Price,DiscountPrice,Quantity,Category,SubCategory,DiscountPercentage
4064,274,69.75,52.0,2.0,7,265,25.448
4062,274,174.35,130.0,5.0,7,265,25.4373
4064,274,34.87,26.0,1.0,7,265,25.4373
4062,274,69.74,52.0,2.0,7,265,25.4373
4064,274,174.37,129.0,5.0,7,265,26.0194
2163,274,110.0,78.0,12.0,5,124,29.0909
2163,274,210.0,181.0,30.0,5,124,13.8095
4555,274,50.32,38.75,1.0,7,265,22.9928
4554,274,100.65,77.5,2.0,7,265,23.0005
1980,274,250.0,250.0,5.0,5,124,0.0
2162,274,50.0,38.0,6.0,5,124,24.0
1980,274,100.0,76.0,2.0,5,124,24.0
1980,274,200.0,200.0,4.0,5,124,0.0
532,13,119.0,118.0,2.0,6,9,0.840336
532,13,301.0,292.0,5.0,6,9,2.99003
532,13,65.0,63.0,1.0,6,9,3.07692
1827,327,93.0,93.0,500.0,4,315,0.0
1826,327,186.0,182.28,500.0,4,315,2.0
1827,327,195.0,181.0,1.0,4,315,7.17949
1826,327,390.0,360.15,1.0,4,315,7.65385
1826,327,585.0,543.0,1.0,4,315,7.17949
1827,327,40.0,40.0,200.0,4,315,0.0
1827,327,390.0,390.0,1.0,4,315,0.0
6031,274,26.9,17.5,1.0,7,265,34.9442
6031,274,13.45,9.0,500.0,7,265,33.0855
5944,635,40.0,40.0,100.0,3,196,0.0
5944,635,285.0,285.0,500.0,3,196,0.0
5944,635,145.0,132.0,250.0,3,196,8.96552
5944,635,570.0,526.0,1.0,3,196,7.7193
4276,483,470.0,440.0,1.0,1,250,6.38298
4276,483,224.0,224.0,2.0,1,250,0.0
4276,483,275.0,255.0,500.0,1,250,7.27273
4276,483,112.0,112.0,200.0,1,250,0.0
6032,274,25.97,17.5,1.0,7,265,32.6146
6032,274,12.99,9.0,500.0,7,265,30.7159
1063,274,50.65,39.0,500.0,7,280,23.001
1063,274,101.3,78.0,1.0,7,280,23.001
1063,274,25.32,19.5,250.0,7,280,22.9858
58,453,82.0,72.0,420.0,10,180,12.1951
3406,453,14.0,14.0,70.0,10,180,0.0
59,453,168.0,156.0,70.0,10,180,7.14286
57,453,55.0,52.5,280.0,10,180,4.54545
3403,453,28.0,28.0,140.0,10,180,0.0
56,453,109.0,109.0,560.0,10,180,0.0
2842,832,158.0,145.0,2.0,10,44,8.22785
2841,832,79.0,72.5,1.0,10,44,8.22785
666,194,600.0,456.0,8.0,2,31,24.0
667,194,240.0,225.6,6.0,2,31,6.0
4224,194,75.0,75.0,125.0,2,31,0.0
670,194,300.0,249.0,4.0,2,31,17.0
670,194,150.0,132.0,2.0,2,31,12.0
666,194,450.0,360.0,6.0,2,31,20.0
1467,150,85.0,85.0,150.0,2,322,0.0
1469,150,244.0,219.6,500.0,2,322,10.0
6040,150,346.0,325.36,2.0,2,322,5.96532
1466,150,63.0,63.0,100.0,2,322,0.0
1468,150,173.0,166.0,3.0,2,322,4.04624
5818,150,488.0,429.45,2.0,2,322,11.998
4949,55,70.0,57.0,1.0,6,277,18.5714
4950,55,700.0,545.0,10.0,6,277,22.1429
5432,55,1750.0,1245.0,25.0,6,277,28.8571
4949,55,350.0,280.0,5.0,6,277,20.0
5969,274,50.0,39.0,200.0,3,186,22.0
5969,274,200.0,151.0,4.0,3,186,24.5
