Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,TimeOccurrence
1,2020-02-01 00:00:00,2020-01-01 00:00:00,01-01-2020 01:11,1,576,11,16,1,0,3,13,0,,01:11
2,2020-01-01 19:00:00,2020-01-01 01:00:00,01-01-2020 06:26,4,128,10,37,1,5,1,9,0,,06:26
3,2020-02-01 05:00:00,2020-01-01 02:00:00,01-01-2020 14:30,15,271,13,48,0,0,1,15,0,,14:30
4,2020-01-01 05:00:00,2020-01-01 03:00:00,01-01-2020 14:46,21,170,2,49,0,2,1,1,1,2020-04-29 05:00:00,14:46
5,2020-01-01 21:00:00,2020-01-01 04:00:00,01-01-2020 16:51,21,421,19,30,0,4,1,18,1,2020-01-08 21:00:00,16:51
6,2020-02-01 03:00:00,2020-01-01 05:00:00,01-01-2020 17:09,5,442,1,16,1,2,3,18,1,2020-03-30 03:00:00,17:09
7,2020-01-01 16:00:00,2020-01-01 06:00:00,01-01-2020 14:08,4,172,20,64,0,3,3,13,1,2020-03-24 16:00:00,14:08
8,2020-02-01 10:00:00,2020-01-01 07:00:00,02-01-2020 06:33,4,169,3,78,2,3,1,8,0,,06:33
9,2020-04-01 03:00:00,2020-01-01 08:00:00,02-01-2020 06:34,17,338,7,41,2,0,1,1,0,,06:34
10,2020-03-01 07:00:00,2020-01-01 09:00:00,01-01-2020 17:50,4,497,14,29,1,3,1,4,0,,17:50
11,2020-02-01 13:00:00,2020-01-01 10:00:00,01-01-2020 19:42,5,260,9,71,1,1,1,5,1,2020-02-01 13:00:00,19:42
12,2020-03-01 09:00:00,2020-01-01 11:00:00,01-01-2020 22:16,24,563,11,26,1,5,3,3,0,,22:16
13,2020-01-01 16:00:00,2020-01-01 12:00:00,01-01-2020 23:14,28,498,9,36,0,5,1,3,1,2020-02-29 16:00:00,23:14
14,2020-02-01 22:00:00,2020-01-01 13:00:00,01-01-2020 17:46,17,436,1,32,2,6,3,18,0,,17:46
15,2020-02-01 00:00:00,2020-01-01 14:00:00,01-01-2020 22:28,2,266,16,77,0,6,3,19,0,,22:28
16,2020-02-01 07:00:00,2020-01-01 15:00:00,01-01-2020 18:54,13,357,3,51,0,1,1,16,1,2020-03-30 07:00:00,18:54
17,2020-03-01 07:00:00,2020-01-01 16:00:00,02-01-2020 02:57,7,509,6,61,1,5,1,6,0,,02:57
18,2020-04-01 02:00:00,2020-01-01 17:00:00,01-01-2020 23:09,21,342,0,64,0,4,0,2,0,,23:09
19,2020-02-01 20:00:00,2020-01-01 18:00:00,02-01-2020 10:42,2,480,4,11,1,6,1,3,1,2020-01-24 20:00:00,10:42
20,2020-03-01 18:00:00,2020-01-01 19:00:00,02-01-2020 18:02,2,369,7,62,0,0,1,2,1,2020-03-05 18:00:00,18:02
21,2020-03-01 22:00:00,2020-01-01 20:00:00,02-01-2020 02:33,8,251,18,50,0,5,2,14,1,2020-01-22 22:00:00,02:33
22,2020-03-01 12:00:00,2020-01-01 21:00:00,02-01-2020 10:11,17,374,19,64,0,4,1,15,1,2020-03-03 12:00:00,10:11
